"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
1,1,"main","part",65,5,"B","motar","head","shared",4,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",65,5,"A","denor","tail","unique",NA,NA,"#C6804C",60,22,39,1,0,"attract"
1,1,"main","part",66,5,"A","praxa","back","shared",3,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",66,5,"A","nodon","leg","shared",NA,NA,"#D37955",60,31.89949494,34.89949494,1,0,"attract"
1,1,"main","part",67,5,"A","nodon","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",67,5,"A","nodon","head","unique",NA,NA,"#BC827E",60,22,11,1,0,"attract"
1,1,"main","part",68,5,"A","nodon","head","unique",3,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",68,5,"A","funda","tail","shared",NA,NA,"#D67667",60,36,25,0,0,"orthogonal"
1,1,"main","part",69,5,"B","sorex","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",69,5,"B","gavan","leg","unique",NA,NA,"#BB7ABD",60,36,-25,1,0,"attract"
1,1,"main","part",70,5,"A","denor","head","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",70,5,"B","sorex","head","unique",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,1,0,"attract"
1,1,"main","part",71,5,"A","denor","tail","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",71,5,"A","praxa","leg","unique",NA,NA,"#CC7A78",60,31.89949494,15.10050506,0,1,"target"
1,1,"main","part",72,5,"A","praxa","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",72,5,"B","volar","tail","shared",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
1,1,"main","part",73,5,"B","motar","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",73,5,"A","funda","back","unique",NA,NA,"#B78753",60,12.10050506,34.89949494,0,0,"orthogonal"
1,1,"main","part",74,5,"B","gavan","back","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",74,5,"B","volar","back","unique",NA,NA,"#878EBC",60,8,-25,1,0,"attract"
1,1,"main","part",75,5,"B","volar","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",75,5,"A","praxa","back","shared",NA,NA,"#AF8877",60,12.10050506,15.10050506,0,1,"target"
1,1,"main","part",76,5,"A","funda","back","unique",3,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",76,5,"A","denor","head","shared",NA,NA,"#AD8A65",60,8,25,0,0,"orthogonal"
1,1,"main","part",77,5,"A","funda","tail","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",77,5,"B","motar","tail","unique",NA,NA,"#828DCE",60,12.10050506,-34.89949494,0,1,"target"
1,1,"main","part",78,5,"B","gavan","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",78,5,"B","sorex","leg","shared",NA,NA,"#AE84A4",60,22,-11,1,0,"attract"
1,1,"main","part",79,5,"B","volar","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",79,5,"B","gavan","back","shared",NA,NA,"#9287D5",60,22,-39,-1,0,"repel"
1,1,"main","part",80,5,"B","sorex","head","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",80,5,"B","motar","head","shared",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,0,1,"target"
1,1,"main","part",81,6,"A","funda","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",81,6,"B","motar","tail","unique",NA,NA,"#828DCE",60,12.10050506,-34.89949494,0,1,"target"
1,1,"main","part",82,6,"B","gavan","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",82,6,"A","praxa","tail","shared",NA,NA,"#D67667",60,36,25,1,0,"attract"
1,1,"main","part",83,6,"A","nodon","back","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",83,6,"B","volar","head","shared",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,0,0,"orthogonal"
1,1,"main","part",84,6,"A","praxa","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
